product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Антрекот,8782,89,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2015-02-12,2030-06-16,2.62,Awaiting Review
2,Пензенская,5840,234,Напитки,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1992-01-01,1994-01-15,3.96,Refunded
3,Куриные грудки,3496,70,Мясо,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2011-02-03,2011-05-01,1.12,Out of Stock
4,Каша из дробленой ячменя,1857,203,Бакалея,Придает блюдам особую нежность и насыщенность.,2016-07-09,2023-09-04,3.13,Cancelled
5,Черный перец горошком,5330,998,Бакалея,Отличается гипоаллергенностью и безопасностью для большинства людей.,2010-02-01,2029-12-10,3.4,Cancelled
6,Салфетки влажные,1572,39,Товары для дома,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2019-04-23,2022-08-22,1.52,Awaiting Review
7,Нектарин,4391,263,Фрукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2007-04-14,2013-01-03,1.16,Available for Pickup
8,Прошутто,6117,597,Мясо,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",1992-01-12,2015-02-02,3.84,Available for Pickup
9,Окорок,5272,3,Мясо,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1991-06-11,2005-02-20,1.01,Sold
10,Томаты в собственном соку,210,738,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,1997-01-11,2003-01-27,3.43,Cancelled
11,Каймак,2678,910,Молочные продукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2007-03-04,2011-02-03,4.64,Shipping
12,Каша из дробленной гречки,5768,476,Бакалея,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1994-02-07,1995-06-09,1.8,Out of Stock
13,Лавровый лист,1491,62,Бакалея,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1991-10-15,2012-01-07,0.24,Returned
14,"Орехи (грецкий орех, миндаль, фундук)",793,866,Бакалея,Помогает поддерживать нормальный уровень гормонов в организме.,2000-04-03,2002-06-01,3.88,New
15,Айва,9635,721,Фрукты,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1996-01-02,2013-10-14,2.34,Awaiting Payment
16,Сельдерей,162,934,Овощи,Помогает поддерживать нормальный уровень гормонов в организме.,2001-09-03,2015-01-20,3.41,Awaiting Payment
17,Шаурма,3904,684,Мясо,"Является источником антиоксидантов, замедляющих процессы старения.",2006-03-09,2009-04-13,2.17,Refunded
18,Моющее средство для стекол,2185,494,Товары для дома,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1995-01-01,2007-04-04,4.09,Refunded
19,Пакеты для игрушек,4489,154,Товары для дома,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1997-01-09,2021-02-08,4.16,New
20,Чай черный,9995,453,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2016-01-05,2028-02-08,4.88,Sold
21,Тан,1459,496,Молочные продукты,Подходит для использования в диетических программах для похудения.,2008-06-01,2028-01-02,1.86,Awaiting Review
22,Молоко,7696,551,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-09-02,2028-03-01,2.68,On Backorder
23,Капуста белокочанная,9281,561,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2019-06-02,2022-02-02,2.44,Shipping
24,Шахтинская,5882,183,Напитки,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2017-02-23,2021-03-23,1.16,Pending
25,Противни,3139,114,Товары для дома,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1993-05-01,2007-10-02,4.2,Temporarily Unavailable
26,Паштет,7458,540,Мясо,Идеален для перекусов между основными приемами пищи.,2009-09-01,2028-04-06,1.13,Available for Pickup
